s (0, 0, mpf('0.0011317694333545182447183778967664212966668411039486606975462090189574296714055310368227677195475876008307467595692403181666162428774808954302806427344789072239718069490949438544816901723856952238815559296'), [mpf('0.0'), mpf('-1.0'), mpf('-3.0'), mpf('2.0'), mpf('2.0'), mpf('-6.0'), mpf('1.0'), mpf('-3.0'), mpf('-6.0'), mpf('-12.0')])
s (0, 0, mpf('0.0011058262119898251001835814686670115889135528279123227475580865270715589020219568279646196614082747076876320520343055290654233411394418348363377152910297082120187720880048729920461363066533993165448955751'), [0, 0, 0, mpf('1.0'), mpf('1.0'), mpf('-1.0'), 0, 0, 0, mpf('-4.0')])
s (0, 0, mpf('0.0011929680536969182246036413049953263591335104457042425621711613619924620776660069877614192457334739914166384513172818835446590633825097764935618099982495697358409465986650064557682811606875338935771750973'), [0, mpf('-1.0'), mpf('2.0'), 0, mpf('0.0'), 0, 0, mpf('-1.0'), mpf('-1.0'), mpf('-3.0')])
s (0, 0, mpf('0.0010440567844139840088860802204750096672344580654491168155154621501696492647906728545637239216562546428517878724590577768050576863910429002919254651641055612397338730539870209432790637033031578380951647159'), [0, mpf('-2.0'), 0, mpf('-2.0'), mpf('-1.0'), 0, 0, mpf('-1.0'), mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.0011463774510868732443826253907242950524734289175409825992972506673013154615078092746917986990281273443028270586314696410834963550587271941371144621460824793595378206705977928806273132778350441981639062062'), [mpf('-2.0'), mpf('2.0'), mpf('-1.0'), mpf('0.0'), mpf('2.0'), mpf('0.0'), 0, mpf('2.0'), mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010218489974051153943567927507220088135432533614374274869250212399854208047304474283047848754437809790639360464483429541591754930629432376707149151880597252699966831217139581283428704464711028117967247228'), [mpf('1.0'), 0, mpf('-1.0'), mpf('0.0'), 0, 0, 0, mpf('1.0'), 0, mpf('-3.0')])
s (0, 0, mpf('0.001028511025001802057353771316673305874248706362019521102037990176967999593339376208391025870011521374378213930826635870134687479013985951245968483993271573378357465125724359272519908829878932508434166606'), [mpf('-1.0'), mpf('-2.0'), mpf('0.0'), mpf('1.0'), mpf('0.0'), mpf('-2.0'), mpf('0.0'), mpf('1.0'), mpf('1.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010331344120916559571948123953797867839067523744682871460094944606565595204078407486422987611582190222203037556891624395242006849563585212511057262329365592739108833547919476184405864721017101230893328224'), [0, 0, mpf('-1.0'), 0, mpf('-1.0'), mpf('-1.0'), mpf('-2.0'), 0, mpf('-1.0'), mpf('-1.0')])
s (0, 0, mpf('0.0011388537765071472736681045718405519131834909653193536847648658519647165326762235699017231444453611836709196854485171623674334692535933305323495820057417573319726687683195440828460677535951774004376914717'), [0, 0, 0, 0, 0, 0, mpf('-2.0'), 0, mpf('0.0'), 0])
s (0, 0, mpf('0.0010062368023705631325632094309926454026224827460502052364609100986033898354678789177747064365188928767918220328699285479633375812734808155085393721349594723395849413294776020385405436659485403526624898669'), [0, 0, mpf('1.0'), mpf('-1.0'), 0, mpf('-1.0'), 0, mpf('-1.0'), mpf('-1.0'), mpf('-4.0')])
s (0, 0, mpf('0.0012063431179124324639985237685954996775246997668956971783026883644758658154844614561890644660744697305088366063598420790727852205877493753092917044594030528274953948378650544178209851031257754353020161062'), [mpf('1.0'), mpf('-2.0'), mpf('-2.0'), mpf('1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-3.0')])
s (0, 0, mpf('0.0013363989530752092053286882997540651776638108175292994638633914284825127300934137260972348169662797622260459466416073133125244896270887029693637947722092062025932702246898507046301885320230144158258610424'), [0, mpf('1.0'), mpf('-1.0'), mpf('0.0'), mpf('0.0'), mpf('-3.0'), mpf('1.0'), 0, mpf('2.0'), mpf('-6.0')])
p (0, 0, mpf('0.00012311732284515051771176692534603726789432608698524559935231458634279833625244835910441536445864449683607157855235764104504948314566235935152786942471651072291916775386353940934044528572902998770257530924'), [mpf('0.0'), mpf('-2.0'), mpf('0.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('0.0'), mpf('0.0'), mpf('-1.0')])
p (0, 0, mpf('0.000024634677967426987008049555516097577897300718035461228608551363183512225695200317785511387121367743218015480708276302668958417744261098121056309086649709693551511934046891251695323466822427804065339524669'), [mpf('1.0'), mpf('-2.0'), mpf('-1.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('-2.0'), mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010428775975447791333086838951163470187773219414628554719188275925506943268752961660135296633257641667291911574235012158751844845312296594478015937746111634569742509358081230685033695882633189013246417698'), [mpf('1.0'), mpf('-3.0'), mpf('-1.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-4.0')])
s (0, 0, mpf('0.001198436238494688791563952816714438509598260402186764477600417862747380492635712178660890737835751018091419956584200646410483656910404671449286624313203149098140525063215428520132530957068750873275268647'), [mpf('6.0'), mpf('-4.0'), mpf('4.0'), mpf('1.0'), mpf('-2.0'), mpf('1.0'), mpf('-1.0'), mpf('2.0'), mpf('0.0'), mpf('5.0')])
